Tweet,Tweet_Normalized,Tweet_Tokenized,Tweet_Stopwords,Tweet_Stemmed,Suicide
"saya seorang transgirl berusia 20 tahun yang telah menggunakan hormon selama sekitar 4 bulan baru -baru ini saya menderita episode depresi karena disforia gender sampai sekitar beberapa minggu yang lalu saya baru saja mendapatkan pekerjaan dan saya menampilkan diri saya sebagai wanita dan menggunakan nama perempuan yang tidak bisa saya tunggu, saya tidak dapat melakukan apa pun yang saya tunggu, saya tidak dapat melakukan hal yang lebih baik karena saya tidak dapat dilihat karena saya tidak dapat dilihat karena saya tidak dapat dilihat karena saya tidak dapat dilihat karena saya tidak dapat dilihat karena saya tidak dapat dilihat karena saya tidak dapat dilihat karena saya tidak dapat menghubungkannya karena saya tidak dapat dilihat karena saya tidak dapat dilihat karena saya tidak dapat dilihat karena saya tidak dapat menghubungkan dengan maskulin karena saya tidak dapat dilihat karena saya tidak dapat menghubungkan dengan maskulin karena saya tidak dapat dilihat karena saya tidak dapat dilihat karena saya tidak dapat dilihat karena saya tidak dapat dilihat karena saya tidak bisa dilihat karena saya tidak bisa menghubungkan dengan maskulin. hormon tapi saya benar -benar takut bagaimana jika mereka tidak bekerja bagaimana jika saya akan dipukuli bagaimana jika saya kehilangan pekerjaan karena hanya menjadi saya, saya ingin bahagia tetapi sangat sulit sampai ke titik di mana semua yang saya lakukan hanyalah berpikir tentang kematian dan berharap mungkin saya akan menyelesaikannya, saya tidak bisa mengambil semua ini lagi","saya seorang transgirl berusia 20 tahun yang telah menggunakan hormon selama sekitar 4 bulan baru -baru ini saya menderita episode depresi karena disforia gender sampai sekitar beberapa minggu yang lalu saya baru saja mendapatkan pekerjaan dan saya menampilkan diri saya sebagai wanita dan menggunakan nama perempuan yang tidak bisa saya tunggu, saya tidak dapat melakukan apa pun yang saya tunggu, saya tidak dapat melakukan hal yang lebih baik karena saya tidak dapat dilihat karena saya tidak dapat dilihat karena saya tidak dapat dilihat karena saya tidak dapat dilihat karena saya tidak dapat dilihat karena saya tidak dapat dilihat karena saya tidak dapat dilihat karena saya tidak dapat menghubungkannya karena saya tidak dapat dilihat karena saya tidak dapat dilihat karena saya tidak dapat dilihat karena saya tidak dapat menghubungkan dengan maskulin karena saya tidak dapat dilihat karena saya tidak dapat menghubungkan dengan maskulin karena saya tidak dapat dilihat karena saya tidak dapat dilihat karena saya tidak dapat dilihat karena saya tidak dapat dilihat karena saya tidak bisa dilihat karena saya tidak bisa menghubungkan dengan maskulin. hormon tapi saya benar -benar takut bagaimana jika mereka tidak bekerja bagaimana jika saya akan dipukuli bagaimana jika saya kehilangan pekerjaan karena hanya menjadi saya, saya ingin bahagia tetapi sangat sulit sampai ke titik di mana semua yang saya lakukan hanyalah berpikir tentang kematian dan berharap mungkin saya akan menyelesaikannya, saya tidak bisa mengambil semua ini lagi","['saya', 'seorang', 'transgirl', 'berusia', '20', 'tahun', 'yang', 'telah', 'menggunakan', 'hormon', 'selama', 'sekitar', '4', 'bulan', 'baru', '-baru', 'ini', 'saya', 'menderita', 'episode', 'depresi', 'karena', 'disforia', 'gender', 'sampai', 'sekitar', 'beberapa', 'minggu', 'yang', 'lalu', 'saya', 'baru', 'saja', 'mendapatkan', 'pekerjaan', 'dan', 'saya', 'menampilkan', 'diri', 'saya', 'sebagai', 'wanita', 'dan', 'menggunakan', 'nama', 'perempuan', 'yang', 'tidak', 'bisa', 'saya', 'tunggu', ',', 'saya', 'tidak', 'dapat', 'melakukan', 'apa', 'pun', 'yang', 'saya', 'tunggu', ',', 'saya', 'tidak', 'dapat', 'melakukan', 'hal', 'yang', 'lebih', 'baik', 'karena', 'saya', 'tidak', 'dapat', 'dilihat', 'karena', 'saya', 'tidak', 'dapat', 'dilihat', 'karena', 'saya', 'tidak', 'dapat', 'dilihat', 'karena', 'saya', 'tidak', 'dapat', 'dilihat', 'karena', 'saya', 'tidak', 'dapat', 'dilihat', 'karena', 'saya', 'tidak', 'dapat', 'dilihat', 'karena', 'saya', 'tidak', 'dapat', 'dilihat', 'karena', 'saya', 'tidak', 'dapat', 'menghubungkannya', 'karena', 'saya', 'tidak', 'dapat', 'dilihat', 'karena', 'saya', 'tidak', 'dapat', 'dilihat', 'karena', 'saya', 'tidak', 'dapat', 'dilihat', 'karena', 'saya', 'tidak', 'dapat', 'menghubungkan', 'dengan', 'maskulin', 'karena', 'saya', 'tidak', 'dapat', 'dilihat', 'karena', 'saya', 'tidak', 'dapat', 'menghubungkan', 'dengan', 'maskulin', 'karena', 'saya', 'tidak', 'dapat', 'dilihat', 'karena', 'saya', 'tidak', 'dapat', 'dilihat', 'karena', 'saya', 'tidak', 'dapat', 'dilihat', 'karena', 'saya', 'tidak', 'dapat', 'dilihat', 'karena', 'saya', 'tidak', 'bisa', 'dilihat', 'karena', 'saya', 'tidak', 'bisa', 'menghubungkan', 'dengan', 'maskulin', '.', 'hormon', 'tapi', 'saya', 'benar', '-benar', 'takut', 'bagaimana', 'jika', 'mereka', 'tidak', 'bekerja', 'bagaimana', 'jika', 'saya', 'akan', 'dipukuli', 'bagaimana', 'jika', 'saya', 'kehilangan', 'pekerjaan', 'karena', 'hanya', 'menjadi', 'saya', ',', 'saya', 'ingin', 'bahagia', 'tetapi', 'sangat', 'sulit', 'sampai', 'ke', 'titik', 'di', 'mana', 'semua', 'yang', 'saya', 'lakukan', 'hanyalah', 'berpikir', 'tentang', 'kematian', 'dan', 'berharap', 'mungkin', 'saya', 'akan', 'menyelesaikannya', ',', 'saya', 'tidak', 'bisa', 'mengambil', 'semua', 'ini', 'lagi']","['transgirl', 'berusia', '20', 'hormon', '4', '-baru', 'menderita', 'episode', 'depresi', 'disforia', 'gender', 'minggu', 'pekerjaan', 'menampilkan', 'wanita', 'nama', 'perempuan', 'tunggu', ',', 'tunggu', ',', 'menghubungkannya', 'menghubungkan', 'maskulin', 'menghubungkan', 'maskulin', 'menghubungkan', 'maskulin', '.', 'hormon', '-benar', 'takut', 'dipukuli', 'kehilangan', 'pekerjaan', ',', 'bahagia', 'sulit', 'titik', 'lakukan', 'berpikir', 'kematian', 'berharap', 'menyelesaikannya', ',', 'mengambil']","['transgirl', 'usia', '20', 'hormon', '4', '-baru', 'derita', 'episode', 'depresi', 'disforia', 'gender', 'minggu', 'kerja', 'tampil', 'wanita', 'nama', 'perempuan', 'tunggu', '', 'tunggu', '', 'hubung', 'hubung', 'maskulin', 'hubung', 'maskulin', 'hubung', 'maskulin', '', 'hormon', '-benar', 'takut', 'pukul', 'hilang', 'kerja', '', 'bahagia', 'sulit', 'titik', 'laku', 'pikir', 'mati', 'harap', 'selesai', '', 'ambil']",Potential Suicide post
pagi semuanya,pagi semuanya,"['pagi', 'semuanya']",['pagi'],['pagi'],Not Suicide post
rt hari ini satu tahun yang lalu saya kehilangan tetangga dan teman jadi di sini ada kutipan yang membuat saya melewati masa terburuk saya f,rt hari ini satu tahun yang lalu saya kehilangan tetangga dan teman jadi di sini ada kutipan yang membuat saya melewati masa terburuk saya f,"['rt', 'hari', 'ini', 'satu', 'tahun', 'yang', 'lalu', 'saya', 'kehilangan', 'tetangga', 'dan', 'teman', 'jadi', 'di', 'sini', 'ada', 'kutipan', 'yang', 'membuat', 'saya', 'melewati', 'masa', 'terburuk', 'saya', 'f']","['rt', 'kehilangan', 'tetangga', 'teman', 'kutipan', 'melewati', 'terburuk', 'f']","['rt', 'hilang', 'tetangga', 'teman', 'kutip', 'lewat', 'buruk', 'f']",Potential Suicide post
"9 ekor atau tidak jika dia ingin membunuhnya, dia akan mati itachi bisa membunuhnya tetapi dia tidak ingin id","9 ekor atau tidak jika dia ingin membunuhnya, dia akan meninggal itachi bisa membunuhnya tetapi dia tidak ingin id","['9', 'ekor', 'atau', 'tidak', 'jika', 'dia', 'ingin', 'membunuhnya', ',', 'dia', 'akan', 'meninggal', 'itachi', 'bisa', 'membunuhnya', 'tetapi', 'dia', 'tidak', 'ingin', 'id']","['9', 'ekor', 'membunuhnya', ',', 'meninggal', 'itachi', 'membunuhnya', 'id']","['9', 'ekor', 'bunuh', '', 'tinggal', 'itachi', 'bunuh', 'id']",Potential Suicide post
rt selamat kepada gorb karena lulus sekolah menengah kami semua berharap anda berjuang untuk kebesaran seperti yang anda lakukan di cod4,rt selamat kepada gorb karena lulus sekolah menengah kami semua berharap anda berjuang untuk kebesaran seperti yang anda lakukan di cod4,"['rt', 'selamat', 'kepada', 'gorb', 'karena', 'lulus', 'sekolah', 'menengah', 'kami', 'semua', 'berharap', 'anda', 'berjuang', 'untuk', 'kebesaran', 'seperti', 'yang', 'anda', 'lakukan', 'di', 'cod4']","['rt', 'selamat', 'gorb', 'lulus', 'sekolah', 'menengah', 'berharap', 'berjuang', 'kebesaran', 'lakukan', 'cod4']","['rt', 'selamat', 'gorb', 'lulus', 'sekolah', 'tengah', 'harap', 'juang', 'besar', 'laku', 'cod4']",Not Suicide post
saya hanya perlu ke google cara memasukkan microsd ke dalam blackberry bold menemukannya,saya hanya perlu ke google cara memasukkan microsd ke dalam blackberry bold menemukannya,"['saya', 'hanya', 'perlu', 'ke', 'google', 'cara', 'memasukkan', 'microsd', 'ke', 'dalam', 'blackberry', 'bold', 'menemukannya']","['google', 'memasukkan', 'microsd', 'blackberry', 'bold', 'menemukannya']","['google', 'masuk', 'microsd', 'blackberry', 'bold', 'temu']",Not Suicide post
bangunkan hopin kakak saya mendapat waktu 4 saya 2day hanya sedikit sedikit minimal tapi katelyn mungkin datang untuk bergaul dengan saya,bangunkan hopin kakak saya mendapat waktu 4 saya 2day hanya sedikit sedikit minimal tapi katelyn mungkin datang untuk bergaul dengan saya,"['bangunkan', 'hopin', 'kakak', 'saya', 'mendapat', 'waktu', '4', 'saya', '2day', 'hanya', 'sedikit', 'sedikit', 'minimal', 'tapi', 'katelyn', 'mungkin', 'datang', 'untuk', 'bergaul', 'dengan', 'saya']","['bangunkan', 'hopin', 'kakak', '4', '2day', 'minimal', 'katelyn', 'bergaul']","['bangun', 'hopin', 'kakak', '4', '2day', 'minimal', 'katelyn', 'gaul']",Not Suicide post
rt selamat ulang tahun untuk neil young legendaris dia berusia 73 hari ini,rt selamat ulang tahun untuk neil young legendaris dia berusia 73 hari ini,"['rt', 'selamat', 'ulang', 'tahun', 'untuk', 'neil', 'young', 'legendaris', 'dia', 'berusia', '73', 'hari', 'ini']","['rt', 'selamat', 'ulang', 'neil', 'young', 'legendaris', 'berusia', '73']","['rt', 'selamat', 'ulang', 'neil', 'young', 'legendaris', 'usia', '73']",Not Suicide post
rt nama saya arya stark saya ingin anda tahu bahwa hal terakhir yang anda lihat adalah smi stark,rt nama saya arya stark saya ingin anda tahu bahwa hal terakhir yang anda lihat adalah smi stark,"['rt', 'nama', 'saya', 'arya', 'stark', 'saya', 'ingin', 'anda', 'tahu', 'bahwa', 'hal', 'terakhir', 'yang', 'anda', 'lihat', 'adalah', 'smi', 'stark']","['rt', 'nama', 'arya', 'stark', 'lihat', 'smi', 'stark']","['rt', 'nama', 'arya', 'stark', 'lihat', 'smi', 'stark']",Potential Suicide post
oh neraka ya tapi daftar itu harus dibuat dengan penuh semangat mengantuk dengan sabar,oh neraka ya tapi daftar itu harus dibuat dengan penuh semangat mengantuk dengan sabar,"['oh', 'neraka', 'ya', 'tapi', 'daftar', 'itu', 'harus', 'dibuat', 'dengan', 'penuh', 'semangat', 'mengantuk', 'dengan', 'sabar']","['oh', 'neraka', 'ya', 'daftar', 'penuh', 'semangat', 'mengantuk', 'sabar']","['oh', 'neraka', 'ya', 'daftar', 'penuh', 'semangat', 'antuk', 'sabar']",Not Suicide post
lol ya mereka bisa keras jadi tergantung di mana pengering anda tetapi mereka menyingkirkan statis yang sangat licik tentang lolx anjing,tertawa ya mereka bisa keras jadi tergantung di mana pengering anda tetapi mereka menyingkirkan statis yang sangat licik tentang lolx anjing,"['tertawa', 'ya', 'mereka', 'bisa', 'keras', 'jadi', 'tergantung', 'di', 'mana', 'pengering', 'anda', 'tetapi', 'mereka', 'menyingkirkan', 'statis', 'yang', 'sangat', 'licik', 'tentang', 'lolx', 'anjing']","['tertawa', 'ya', 'keras', 'tergantung', 'pengering', 'menyingkirkan', 'statis', 'licik', 'lolx', 'anjing']","['tertawa', 'ya', 'keras', 'gantung', 'ering', 'singkir', 'statis', 'licik', 'lolx', 'anjing']",Not Suicide post
seseorang yang baru saja membunuhku,seseorang yang baru saja membunuhku,"['seseorang', 'yang', 'baru', 'saja', 'membunuhku']",['membunuhku'],['bunuh'],Potential Suicide post
terlalu malu untuk itu ditambah dia sudah mencuri otakku dalam tidurku,terlalu malu untuk itu ditambah dia sudah mencuri otakku dalam tidurku,"['terlalu', 'malu', 'untuk', 'itu', 'ditambah', 'dia', 'sudah', 'mencuri', 'otakku', 'dalam', 'tidurku']","['malu', 'ditambah', 'mencuri', 'otakku', 'tidurku']","['malu', 'tambah', 'curi', 'otak', 'tidur']",Not Suicide post
nah anda tidak disayangkan saya tidak makan hal itu karena saya ingin hidup beberapa tahun lebih lama,nah anda tidak disayangkan saya tidak makan hal itu karena saya ingin hidup beberapa tahun lebih lama,"['nah', 'anda', 'tidak', 'disayangkan', 'saya', 'tidak', 'makan', 'hal', 'itu', 'karena', 'saya', 'ingin', 'hidup', 'beberapa', 'tahun', 'lebih', 'lama']","['disayangkan', 'makan', 'hidup']","['sayang', 'makan', 'hidup']",Not Suicide post
ya saya lakukan dan saya di boston untuk pameran kuliah dan bukan sekolah hahaa,ya saya lakukan dan saya di boston untuk pameran kuliah dan bukan sekolah hahaa,"['ya', 'saya', 'lakukan', 'dan', 'saya', 'di', 'boston', 'untuk', 'pameran', 'kuliah', 'dan', 'bukan', 'sekolah', 'hahaa']","['ya', 'lakukan', 'boston', 'pameran', 'kuliah', 'sekolah', 'hahaa']","['ya', 'laku', 'boston', 'pamer', 'kuliah', 'sekolah', 'hahaa']",Not Suicide post
kami tidak memiliki tix hanya akan menghadiri perayaan,kami tidak memiliki tix hanya akan menghadiri perayaan,"['kami', 'tidak', 'memiliki', 'tix', 'hanya', 'akan', 'menghadiri', 'perayaan']","['memiliki', 'tix', 'menghadiri', 'perayaan']","['milik', 'tix', 'hadir', 'raya']",Not Suicide post
happy birthdaaaaayyy bebe godbless youuu,happy birthdaaaaayyy bebe godbless youuu,"['happy', 'birthdaaaaayyy', 'bebe', 'godbless', 'youuu']","['happy', 'birthdaaaaayyy', 'bebe', 'godbless', 'youuu']","['happy', 'birthdaaaaayyy', 'bebe', 'godbless', 'youuu']",Not Suicide post
o ya saya pasti sangat senang dia memeriksanya lagi jam berapa onish jaaaaaah lolm,o ya saya pasti sangat senang dia memeriksanya lagi jam berapa onish jaaaaaah lolm,"['o', 'ya', 'saya', 'pasti', 'sangat', 'senang', 'dia', 'memeriksanya', 'lagi', 'jam', 'berapa', 'onish', 'jaaaaaah', 'lolm']","['o', 'ya', 'senang', 'memeriksanya', 'jam', 'onish', 'jaaaaaah', 'lolm']","['o', 'ya', 'senang', 'periksa', 'jam', 'onish', 'jaaaaaah', 'lolm']",Not Suicide post
mengunduh aplikasi pollock saya sangat suka menarik bunga lolz,mengunduh aplikasi pollock saya sangat suka menarik bunga lolz,"['mengunduh', 'aplikasi', 'pollock', 'saya', 'sangat', 'suka', 'menarik', 'bunga', 'lolz']","['mengunduh', 'aplikasi', 'pollock', 'suka', 'menarik', 'bunga', 'lolz']","['unduh', 'aplikasi', 'pollock', 'suka', 'tarik', 'bunga', 'lolz']",Not Suicide post
saya benar -benar membenci diri sendiri karena membaca buku ini,saya benar -benar membenci diri sendiri karena membaca buku ini,"['saya', 'benar', '-benar', 'membenci', 'diri', 'sendiri', 'karena', 'membaca', 'buku', 'ini']","['-benar', 'membenci', 'membaca', 'buku']","['-benar', 'benci', 'baca', 'buku']",Potential Suicide post
lebih baik menambahkan penjaga di belakang maka tidak mungkin semuanya cukup bodoh untuk menambahkan perubahan game sebesar ini,lebih baik menambahkan penjaga di belakang maka tidak mungkin semuanya cukup bodoh untuk menambahkan perubahan game sebesar ini,"['lebih', 'baik', 'menambahkan', 'penjaga', 'di', 'belakang', 'maka', 'tidak', 'mungkin', 'semuanya', 'cukup', 'bodoh', 'untuk', 'menambahkan', 'perubahan', 'game', 'sebesar', 'ini']","['penjaga', 'bodoh', 'perubahan', 'game']","['jaga', 'bodoh', 'ubah', 'game']",Potential Suicide post
rt saya bersumpah untuk bergerak maju atau maju dalam hidup,rt saya bersumpah untuk bergerak maju atau maju dalam hidup,"['rt', 'saya', 'bersumpah', 'untuk', 'bergerak', 'maju', 'atau', 'maju', 'dalam', 'hidup']","['rt', 'bersumpah', 'bergerak', 'maju', 'maju', 'hidup']","['rt', 'sumpah', 'gerak', 'maju', 'maju', 'hidup']",Not Suicide post
dan minggu empat hari berikutnya,dan minggu empat hari berikutnya,"['dan', 'minggu', 'empat', 'hari', 'berikutnya']",['minggu'],['minggu'],Not Suicide post
"saya tidak ingin senjatamu serius, aku tidak yakin siapa yang melakukannya","saya tidak ingin senjatamu serius, saya tidak yakin siapa yang melakukannya","['saya', 'tidak', 'ingin', 'senjatamu', 'serius', ',', 'saya', 'tidak', 'yakin', 'siapa', 'yang', 'melakukannya']","['senjatamu', 'serius', ',', 'melakukannya']","['senjata', 'serius', '', 'laku']",Potential Suicide post
awww anda harus menggunakan twitter untuk perusahaan,awww anda harus menggunakan twitter untuk perusahaan,"['awww', 'anda', 'harus', 'menggunakan', 'twitter', 'untuk', 'perusahaan']","['awww', 'twitter', 'perusahaan']","['awww', 'twitter', 'usaha']",Not Suicide post
kami kembali pada hari minggu atau senin,kami kembali pada hari minggu atau senin,"['kami', 'kembali', 'pada', 'hari', 'minggu', 'atau', 'senin']","['minggu', 'senin']","['minggu', 'senin']",Not Suicide post
saya baru saja menyadari bahwa dalam sebulan saya dapat merayakan ulang tahun saya dengan menonton film wolverine kemudian wwe raw nice timing,saya baru saja menyadari bahwa dalam sebulan saya dapat merayakan ulang tahun saya dengan menonton film wolverine kemudian wwe raw nice timing,"['saya', 'baru', 'saja', 'menyadari', 'bahwa', 'dalam', 'sebulan', 'saya', 'dapat', 'merayakan', 'ulang', 'tahun', 'saya', 'dengan', 'menonton', 'film', 'wolverine', 'kemudian', 'wwe', 'raw', 'nice', 'timing']","['menyadari', 'sebulan', 'merayakan', 'ulang', 'menonton', 'film', 'wolverine', 'wwe', 'raw', 'nice', 'timing']","['sadar', 'bulan', 'raya', 'ulang', 'tonton', 'film', 'wolverine', 'wwe', 'raw', 'nice', 'timing']",Not Suicide post
dalam proses membuat boneka no 2 dan terlihat lebih baik dan lebih manis,dalam proses membuat boneka no 2 dan terlihat lebih baik dan lebih manis,"['dalam', 'proses', 'membuat', 'boneka', 'no', '2', 'dan', 'terlihat', 'lebih', 'baik', 'dan', 'lebih', 'manis']","['proses', 'boneka', 'no', '2', 'manis']","['proses', 'boneka', 'no', '2', 'manis']",Not Suicide post
manchester england rt saya tidak ingin berada di sini lagi,manchester england rt saya tidak ingin berada di sini lagi,"['manchester', 'england', 'rt', 'saya', 'tidak', 'ingin', 'berada', 'di', 'sini', 'lagi']","['manchester', 'england', 'rt']","['manchester', 'england', 'rt']",Potential Suicide post
saya tidak sabar untuk mendapatkan pekerjaan hidung ini sehingga saya bisa mengambil selfie baru karena saya membenci setiap gambar diri saya termasuk,saya tidak sabar untuk mendapatkan pekerjaan hidung ini sehingga saya bisa mengambil selfie baru karena saya membenci setiap gambar diri saya termasuk,"['saya', 'tidak', 'sabar', 'untuk', 'mendapatkan', 'pekerjaan', 'hidung', 'ini', 'sehingga', 'saya', 'bisa', 'mengambil', 'selfie', 'baru', 'karena', 'saya', 'membenci', 'setiap', 'gambar', 'diri', 'saya', 'termasuk']","['sabar', 'pekerjaan', 'hidung', 'mengambil', 'selfie', 'membenci', 'gambar']","['sabar', 'kerja', 'hidung', 'ambil', 'selfie', 'benci', 'gambar']",Potential Suicide post
video commentandsuscribe dan ikuti saya cheers x,video commentandsuscribe dan ikuti saya cheers x,"['video', 'commentandsuscribe', 'dan', 'ikuti', 'saya', 'cheers', 'x']","['video', 'commentandsuscribe', 'ikuti', 'cheers', 'x']","['video', 'commentandsuscribe', 'ikut', 'cheers', 'x']",Not Suicide post
salam,salam,['salam'],['salam'],['salam'],Not Suicide post
dia adalah putra salah satu teman saya,dia adalah putra salah satu teman saya,"['dia', 'adalah', 'putra', 'salah', 'satu', 'teman', 'saya']","['putra', 'salah', 'teman']","['putra', 'salah', 'teman']",Not Suicide post
fand cuaca saya di paris mari kita bersenang -senang,fand cuaca saya di paris mari kita bersenang -senang,"['fand', 'cuaca', 'saya', 'di', 'paris', 'mari', 'kita', 'bersenang', '-senang']","['fand', 'cuaca', 'paris', 'mari', 'bersenang', '-senang']","['fand', 'cuaca', 'paris', 'mari', 'senang', '-senang']",Not Suicide post
"saya adalah kekecewaan yang menjijikkan sehingga saya tampak lebih gemuk, pipi saya bengkak dan perut saya benar -benar de","saya adalah kekecewaan yang menjijikkan sehingga saya tampak lebih gemuk, pipi saya bengkak dan perut saya benar -benar de","['saya', 'adalah', 'kekecewaan', 'yang', 'menjijikkan', 'sehingga', 'saya', 'tampak', 'lebih', 'gemuk', ',', 'pipi', 'saya', 'bengkak', 'dan', 'perut', 'saya', 'benar', '-benar', 'de']","['kekecewaan', 'menjijikkan', 'gemuk', ',', 'pipi', 'bengkak', 'perut', '-benar', 'de']","['kecewa', 'jijik', 'gemuk', '', 'pipi', 'bengkak', 'perut', '-benar', 'de']",Potential Suicide post
rt saya senang saya memiliki orang yang sama tahun lalu,rt saya senang saya memiliki orang yang sama tahun lalu,"['rt', 'saya', 'senang', 'saya', 'memiliki', 'orang', 'yang', 'sama', 'tahun', 'lalu']","['rt', 'senang', 'memiliki', 'orang']","['rt', 'senang', 'milik', 'orang']",Not Suicide post
hampir hancur di kelas hanya karena pikiran paling negatif sedang menendang dan saya bosan hidup hahahahahahahah,hampir hancur di kelas hanya karena pikiran paling negatif sedang menendang dan saya bosan hidup hahahahahahahah,"['hampir', 'hancur', 'di', 'kelas', 'hanya', 'karena', 'pikiran', 'paling', 'negatif', 'sedang', 'menendang', 'dan', 'saya', 'bosan', 'hidup', 'hahahahahahahah']","['hancur', 'kelas', 'pikiran', 'negatif', 'menendang', 'bosan', 'hidup', 'hahahahahahahah']","['hancur', 'kelas', 'pikir', 'negatif', 'tendang', 'bosan', 'hidup', 'hahahahahahahah']",Potential Suicide post
